epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,1180.8,1.84856,0.88159,1.65882,0.95005,0.89503,0.95824,0.43142,1.87819,0.85692,1.79057,0.001142,0.001142,0.001142
132,1191.19,1.78676,0.86702,1.61481,0.94851,0.91176,0.95918,0.46759,1.76371,0.81333,1.69602,0.0011354,0.0011354,0.0011354
133,1201.29,1.75655,0.83148,1.54254,0.93849,0.91176,0.96174,0.43502,1.85779,0.83844,1.72968,0.0011288,0.0011288,0.0011288
134,1211.75,1.78387,0.88499,1.56611,0.93642,0.90588,0.95343,0.48029,1.75912,0.85179,1.69009,0.0011222,0.0011222,0.0011222
135,1222.13,1.77291,0.8632,1.58044,0.93613,0.8621,0.92806,0.42567,1.876,0.80684,1.73327,0.0011156,0.0011156,0.0011156
136,1231.72,1.71349,0.85436,1.56906,0.93336,0.87647,0.94541,0.48407,1.73724,0.7941,1.6998,0.001109,0.001109,0.001109
137,1241.51,1.76378,0.83829,1.59551,0.93968,0.90588,0.9479,0.43538,1.87214,0.79317,1.76129,0.0011024,0.0011024,0.0011024
138,1250.28,1.73925,0.84956,1.5845,0.96536,0.89412,0.95972,0.49081,1.75335,0.79364,1.70357,0.0010958,0.0010958,0.0010958
139,1257.13,1.7529,0.8413,1.57447,0.96745,0.90588,0.96058,0.48304,1.71448,0.77465,1.6867,0.0010892,0.0010892,0.0010892
140,1265.44,1.74379,0.84671,1.57247,0.95723,0.88235,0.96383,0.44736,1.85358,0.80809,1.75945,0.0010826,0.0010826,0.0010826
141,1274.61,1.7207,0.87149,1.59069,0.93142,0.87881,0.96191,0.47044,1.74389,0.78859,1.69574,0.001076,0.001076,0.001076
142,1284.58,1.7371,0.83776,1.55606,0.9439,0.89068,0.95593,0.46573,1.78403,0.81478,1.72308,0.0010694,0.0010694,0.0010694
143,1294.32,1.753,0.85545,1.58097,0.96094,0.86828,0.9621,0.47245,1.7511,0.79815,1.70772,0.0010628,0.0010628,0.0010628
144,1305.24,1.73015,0.8435,1.54518,0.9476,0.89412,0.95344,0.44555,1.84789,0.80025,1.75774,0.0010562,0.0010562,0.0010562
145,1315.02,1.74629,0.85504,1.55738,0.97312,0.85882,0.95573,0.44392,1.87249,0.80723,1.75548,0.0010496,0.0010496,0.0010496
146,1323.61,1.78831,0.86875,1.60962,0.96095,0.86862,0.96314,0.4547,1.77864,0.82247,1.70594,0.001043,0.001043,0.001043
147,1330.5,1.88653,0.88092,1.66401,0.88176,0.87734,0.9234,0.37091,2.0032,0.87311,1.88232,0.0010364,0.0010364,0.0010364
148,1337.66,1.77337,0.83195,1.59819,0.95573,0.88888,0.95782,0.45586,1.78272,0.82376,1.69603,0.0010298,0.0010298,0.0010298
149,1346.22,1.76614,0.871,1.57965,0.91463,0.8823,0.93151,0.40862,1.95218,0.83174,1.86454,0.0010232,0.0010232,0.0010232
150,1356.37,1.72746,0.84422,1.55737,0.96713,0.8655,0.96005,0.48311,1.71357,0.80118,1.68272,0.0010166,0.0010166,0.0010166
151,1367.02,1.70474,0.82355,1.5722,0.94186,0.85882,0.94371,0.44412,1.85468,0.78747,1.76212,0.00101,0.00101,0.00101
152,1377.02,1.75198,0.85067,1.55278,0.95582,0.86471,0.95115,0.47459,1.80027,0.81826,1.7277,0.0010034,0.0010034,0.0010034
153,1383.79,1.73968,0.85569,1.56133,0.92432,0.86211,0.9415,0.44924,1.77402,0.86006,1.70775,0.0009968,0.0009968,0.0009968
154,1390.29,1.72551,0.81381,1.56808,0.92489,0.84706,0.94715,0.47463,1.71944,0.80559,1.67272,0.0009902,0.0009902,0.0009902
155,1400.59,1.80882,0.85481,1.55732,0.90143,0.86077,0.93428,0.46267,1.81699,0.83896,1.7162,0.0009836,0.0009836,0.0009836
156,1410.45,1.71019,0.82609,1.55315,0.95961,0.83849,0.93912,0.43529,1.84526,0.82595,1.76618,0.000977,0.000977,0.000977
157,1419.73,1.78069,0.82862,1.57317,0.93346,0.92353,0.96636,0.45122,1.78768,0.76732,1.74085,0.0009704,0.0009704,0.0009704
158,1429.42,1.77359,0.8339,1.56894,0.91821,0.92457,0.96036,0.48048,1.74049,0.75648,1.70684,0.0009638,0.0009638,0.0009638
159,1440.43,1.70386,0.81652,1.56393,0.90217,0.92222,0.94528,0.40736,1.95024,0.80642,1.7988,0.0009572,0.0009572,0.0009572
160,1451.26,1.73383,0.85106,1.55215,0.88235,0.92648,0.96155,0.50387,1.66269,0.78134,1.62565,0.0009506,0.0009506,0.0009506
161,1462.27,1.67396,0.8055,1.53633,0.91545,0.87647,0.96024,0.47742,1.71436,0.76443,1.65758,0.000944,0.000944,0.000944
162,1472.17,1.71861,0.80405,1.55972,0.93916,0.87647,0.95524,0.47728,1.73037,0.75602,1.65309,0.0009374,0.0009374,0.0009374
163,1481.99,1.72,0.81867,1.5483,0.93969,0.88235,0.96046,0.48209,1.69445,0.80579,1.62317,0.0009308,0.0009308,0.0009308
164,1488.98,1.72158,0.82242,1.55875,0.9617,0.88619,0.96976,0.44523,1.80808,0.79191,1.76038,0.0009242,0.0009242,0.0009242
165,1495.25,1.74088,0.81133,1.59337,0.97015,0.85882,0.9637,0.48016,1.72015,0.77004,1.67413,0.0009176,0.0009176,0.0009176
166,1503.42,1.7224,0.80959,1.51302,0.95505,0.87485,0.95592,0.45146,1.83595,0.82787,1.68135,0.000911,0.000911,0.000911
167,1510.04,1.70437,0.84014,1.51803,0.96776,0.88277,0.95833,0.45037,1.75854,0.79981,1.67782,0.0009044,0.0009044,0.0009044
168,1517.41,1.68985,0.80561,1.52196,0.96153,0.88208,0.96112,0.46611,1.74474,0.78489,1.67579,0.0008978,0.0008978,0.0008978
169,1525.22,1.68188,0.79617,1.50138,0.97404,0.9,0.96972,0.49353,1.69201,0.75016,1.65756,0.0008912,0.0008912,0.0008912
170,1534.91,1.66634,0.78595,1.53377,0.95505,0.9,0.96438,0.47766,1.75383,0.74511,1.71608,0.0008846,0.0008846,0.0008846
171,1543.83,1.6151,0.77163,1.53435,0.94804,0.9,0.96888,0.48493,1.70931,0.72709,1.65802,0.000878,0.000878,0.000878
172,1553.54,1.64246,0.77378,1.49719,0.96586,0.87059,0.95353,0.48947,1.71299,0.76129,1.6684,0.0008714,0.0008714,0.0008714
173,1561.6,1.60987,0.77402,1.49081,0.96732,0.87053,0.96118,0.49765,1.68658,0.71828,1.64829,0.0008648,0.0008648,0.0008648
174,1568.58,1.61458,0.76324,1.48523,0.96737,0.87207,0.95475,0.47791,1.74687,0.74051,1.65945,0.0008582,0.0008582,0.0008582
175,1576.07,1.68309,0.7749,1.5043,0.93326,0.90475,0.95608,0.43057,1.88219,0.78302,1.77726,0.0008516,0.0008516,0.0008516
176,1585.05,1.68444,0.78811,1.50144,0.93878,0.91176,0.96195,0.48497,1.73649,0.74893,1.68563,0.000845,0.000845,0.000845
177,1594.62,1.61628,0.76542,1.49395,0.93914,0.92353,0.95878,0.45464,1.81422,0.72343,1.77805,0.0008384,0.0008384,0.0008384
178,1601.63,1.64219,0.77286,1.49608,0.9347,0.88235,0.9641,0.48178,1.72578,0.78703,1.66437,0.0008318,0.0008318,0.0008318
179,1608.88,1.61428,0.76655,1.48609,0.9378,0.91176,0.96582,0.48063,1.71826,0.75338,1.66849,0.0008252,0.0008252,0.0008252
180,1616.61,1.59108,0.76119,1.48215,0.92491,0.86943,0.95499,0.48461,1.68278,0.76879,1.62141,0.0008186,0.0008186,0.0008186
181,1626.89,1.6574,0.79751,1.51856,0.91857,0.88824,0.963,0.47877,1.69426,0.78094,1.64978,0.000812,0.000812,0.000812
182,1635.48,1.64374,0.76758,1.49817,0.94488,0.92353,0.9656,0.46078,1.79218,0.7581,1.74676,0.0008054,0.0008054,0.0008054
183,1645.02,1.67413,0.78055,1.52585,0.93786,0.88779,0.9607,0.49949,1.65104,0.74429,1.65875,0.0007988,0.0007988,0.0007988
184,1655,1.68471,0.80465,1.50049,0.9592,0.87647,0.96154,0.47117,1.757,0.76639,1.68926,0.0007922,0.0007922,0.0007922
185,1664.64,1.67178,0.78556,1.52584,0.97658,0.87059,0.96174,0.48582,1.71888,0.74205,1.65539,0.0007856,0.0007856,0.0007856
186,1673.04,1.65513,0.7697,1.49406,0.93676,0.85882,0.95579,0.46701,1.7391,0.74345,1.66008,0.000779,0.000779,0.000779
187,1679.25,1.65168,0.76317,1.47295,0.93234,0.9,0.96108,0.44387,1.87708,0.77565,1.74549,0.0007724,0.0007724,0.0007724
188,1687.46,1.66265,0.77788,1.48809,0.97501,0.87059,0.97218,0.48286,1.74923,0.73886,1.71188,0.0007658,0.0007658,0.0007658
189,1694.47,1.64571,0.78356,1.49116,0.93973,0.91721,0.97188,0.46267,1.80731,0.77125,1.69749,0.0007592,0.0007592,0.0007592
190,1703.71,1.63107,0.77677,1.47906,0.91179,0.90588,0.96125,0.45693,1.77854,0.77058,1.73199,0.0007526,0.0007526,0.0007526
191,1712.56,1.60152,0.73685,1.47884,0.93821,0.89325,0.96417,0.45738,1.7677,0.77988,1.69426,0.000746,0.000746,0.000746
192,1722.53,1.60865,0.75796,1.48615,0.96258,0.90802,0.97523,0.48537,1.71031,0.72316,1.6629,0.0007394,0.0007394,0.0007394
193,1731.91,1.59486,0.73936,1.47383,0.96307,0.91176,0.97937,0.46958,1.78442,0.72982,1.74252,0.0007328,0.0007328,0.0007328
194,1741.73,1.58915,0.74251,1.45921,0.96245,0.90454,0.96721,0.46734,1.78898,0.71762,1.76475,0.0007262,0.0007262,0.0007262
195,1751.02,1.5616,0.75297,1.4612,0.92996,0.91176,0.96617,0.47483,1.76769,0.71863,1.71051,0.0007196,0.0007196,0.0007196
196,1760.51,1.62249,0.75702,1.48159,0.92527,0.91765,0.95766,0.47919,1.77622,0.71963,1.66764,0.000713,0.000713,0.000713
197,1769.75,1.61593,0.76068,1.47515,0.96195,0.89234,0.96409,0.46474,1.81565,0.7203,1.71419,0.0007064,0.0007064,0.0007064
198,1778.97,1.62458,0.75709,1.48924,0.96129,0.84706,0.96233,0.44158,1.89702,0.76784,1.81583,0.0006998,0.0006998,0.0006998
199,1787.52,1.60848,0.74792,1.47968,0.90446,0.89096,0.96422,0.49999,1.71218,0.73617,1.65427,0.0006932,0.0006932,0.0006932
200,1794.26,1.60637,0.74921,1.48396,0.94661,0.9,0.96561,0.47741,1.78249,0.77829,1.7361,0.0006866,0.0006866,0.0006866
201,1801.36,1.58833,0.7616,1.50327,0.97433,0.89318,0.97325,0.47519,1.76517,0.7426,1.67562,0.00068,0.00068,0.00068
202,1808.64,1.60938,0.74482,1.48747,0.96712,0.89412,0.96774,0.46154,1.82514,0.7476,1.73243,0.0006734,0.0006734,0.0006734
203,1816.02,1.62972,0.76024,1.49849,0.94148,0.91765,0.97024,0.47811,1.74597,0.73276,1.68762,0.0006668,0.0006668,0.0006668
204,1825.34,1.59558,0.76379,1.45691,0.92833,0.88235,0.96036,0.48404,1.71625,0.73156,1.64166,0.0006602,0.0006602,0.0006602
205,1834.76,1.56014,0.74135,1.44683,0.92511,0.89412,0.9614,0.47646,1.75086,0.72117,1.69783,0.0006536,0.0006536,0.0006536
206,1845.13,1.59204,0.74619,1.47171,0.95126,0.85882,0.94731,0.44973,1.82544,0.76063,1.74953,0.000647,0.000647,0.000647
207,1855.27,1.56389,0.73595,1.45059,0.9385,0.85294,0.94279,0.44954,1.82247,0.75711,1.73048,0.0006404,0.0006404,0.0006404
208,1862.86,1.594,0.75539,1.44623,0.96077,0.86448,0.96289,0.46018,1.78494,0.78304,1.74008,0.0006338,0.0006338,0.0006338
209,1869.75,1.62227,0.77264,1.45266,0.9561,0.85882,0.94504,0.47159,1.69237,0.74782,1.66308,0.0006272,0.0006272,0.0006272
210,1876.61,1.61131,0.77077,1.46615,0.89493,0.9019,0.95214,0.48645,1.70879,0.72171,1.65364,0.0006206,0.0006206,0.0006206
211,1883.65,1.60399,0.73015,1.45428,0.94959,0.87647,0.95729,0.45549,1.78762,0.73815,1.70667,0.000614,0.000614,0.000614
212,1890.94,1.59797,0.75287,1.44716,0.94669,0.88235,0.95171,0.46656,1.78476,0.75946,1.68127,0.0006074,0.0006074,0.0006074
213,1899.05,1.55963,0.7414,1.43274,0.94212,0.86177,0.95746,0.47424,1.75122,0.7145,1.69658,0.0006008,0.0006008,0.0006008
214,1908.03,1.61596,0.75331,1.47337,0.95518,0.87059,0.96061,0.4761,1.73847,0.70889,1.71132,0.0005942,0.0005942,0.0005942
215,1917.25,1.57791,0.75715,1.44255,0.94196,0.87647,0.96211,0.45231,1.80704,0.73971,1.74688,0.0005876,0.0005876,0.0005876
216,1926.94,1.53719,0.72997,1.43818,0.90855,0.93507,0.97074,0.48534,1.76227,0.69349,1.69796,0.000581,0.000581,0.000581
217,1937.17,1.5275,0.72745,1.41906,0.94474,0.90509,0.96893,0.49127,1.71204,0.693,1.68417,0.0005744,0.0005744,0.0005744
218,1947.05,1.54467,0.73662,1.43029,0.96594,0.86471,0.94591,0.47479,1.75421,0.71454,1.71692,0.0005678,0.0005678,0.0005678
219,1954.74,1.54572,0.73422,1.43216,0.91536,0.89066,0.94603,0.42903,1.89578,0.75954,1.74761,0.0005612,0.0005612,0.0005612
220,1961.14,1.53221,0.72287,1.43342,0.94331,0.88089,0.95796,0.45531,1.80575,0.74186,1.7304,0.0005546,0.0005546,0.0005546
221,1967.26,1.51841,0.73242,1.41095,0.9403,0.89412,0.97089,0.43976,1.80781,0.76323,1.76059,0.000548,0.000548,0.000548
222,1973.46,1.51098,0.71306,1.41166,0.92654,0.89036,0.95713,0.45658,1.81055,0.74481,1.73368,0.0005414,0.0005414,0.0005414
223,1979.76,1.57804,0.72821,1.4336,0.93903,0.85882,0.94819,0.47351,1.7783,0.75593,1.66767,0.0005348,0.0005348,0.0005348
224,1986.11,1.52038,0.7237,1.42256,0.96261,0.84706,0.95275,0.43885,1.92665,0.73954,1.81122,0.0005282,0.0005282,0.0005282
225,1992.51,1.52009,0.72295,1.43658,0.98663,0.86785,0.95628,0.45676,1.84217,0.715,1.75322,0.0005216,0.0005216,0.0005216
226,1998.75,1.58074,0.73452,1.40288,0.93338,0.90651,0.94666,0.47532,1.78086,0.70977,1.72514,0.000515,0.000515,0.000515
227,2006.33,1.54671,0.71088,1.44598,0.94513,0.91176,0.96542,0.45403,1.82269,0.72743,1.73886,0.0005084,0.0005084,0.0005084
228,2014.53,1.54465,0.74304,1.43777,0.96443,0.88824,0.96436,0.47301,1.77162,0.71712,1.73359,0.0005018,0.0005018,0.0005018
229,2021.31,1.55902,0.72825,1.42082,0.94815,0.86049,0.94773,0.48677,1.71036,0.68704,1.66691,0.0004952,0.0004952,0.0004952
230,2028.42,1.52101,0.73846,1.39824,0.95205,0.87647,0.9572,0.46868,1.78275,0.70367,1.7278,0.0004886,0.0004886,0.0004886
231,2035.66,1.54808,0.72858,1.4162,0.9611,0.87212,0.96347,0.4916,1.71354,0.69618,1.68617,0.000482,0.000482,0.000482
232,2044.3,1.55638,0.73095,1.4176,0.9723,0.86471,0.96479,0.48531,1.70259,0.72416,1.68107,0.0004754,0.0004754,0.0004754
233,2053.75,1.52108,0.70008,1.40772,0.93997,0.87647,0.95528,0.45723,1.79088,0.7052,1.77486,0.0004688,0.0004688,0.0004688
234,2062.82,1.51562,0.70905,1.39965,0.93704,0.86471,0.96057,0.46168,1.75924,0.71417,1.70761,0.0004622,0.0004622,0.0004622
235,2071.93,1.53919,0.71068,1.41725,0.95778,0.86471,0.96574,0.46489,1.77145,0.73258,1.68414,0.0004556,0.0004556,0.0004556
236,2081.65,1.50659,0.71409,1.41956,0.97379,0.87059,0.96533,0.42876,1.90666,0.73503,1.78224,0.000449,0.000449,0.000449
237,2090.5,1.53219,0.71683,1.41363,0.94966,0.9,0.9708,0.45566,1.83196,0.72356,1.76639,0.0004424,0.0004424,0.0004424
238,2097.75,1.52797,0.73206,1.39074,0.93983,0.90588,0.96595,0.48209,1.74868,0.71228,1.67891,0.0004358,0.0004358,0.0004358
239,2104.63,1.52123,0.71351,1.40034,0.97468,0.91176,0.96842,0.43543,1.90681,0.73814,1.74475,0.0004292,0.0004292,0.0004292
240,2111.45,1.54046,0.72289,1.42886,0.96813,0.89348,0.96904,0.46108,1.81446,0.72888,1.74012,0.0004226,0.0004226,0.0004226
241,2118.96,1.49201,0.70137,1.38545,0.96089,0.88235,0.96998,0.48091,1.74413,0.72871,1.67967,0.000416,0.000416,0.000416
242,2126.58,1.52049,0.69985,1.3776,0.966,0.89412,0.97073,0.4645,1.80996,0.74213,1.73641,0.0004094,0.0004094,0.0004094
243,2133.78,1.48204,0.71235,1.3813,0.96617,0.90588,0.97334,0.4622,1.84617,0.72593,1.78444,0.0004028,0.0004028,0.0004028
244,2139.98,1.47514,0.69655,1.39071,0.95992,0.89412,0.96793,0.48989,1.74467,0.71725,1.6979,0.0003962,0.0003962,0.0003962
245,2146.22,1.51665,0.70822,1.38238,0.96345,0.87647,0.96738,0.47322,1.78986,0.7235,1.73869,0.0003896,0.0003896,0.0003896
246,2153.08,1.49495,0.69942,1.41276,0.96124,0.88824,0.96757,0.43832,1.91488,0.72138,1.83269,0.000383,0.000383,0.000383
247,2162.62,1.53639,0.70988,1.40925,0.97574,0.88235,0.97477,0.44819,1.84908,0.71287,1.78098,0.0003764,0.0003764,0.0003764
248,2172.12,1.45849,0.6976,1.37771,0.98846,0.89412,0.97962,0.4622,1.77924,0.69397,1.75233,0.0003698,0.0003698,0.0003698
249,2181.34,1.46996,0.74845,1.38114,0.96907,0.92162,0.98096,0.46307,1.83912,0.69851,1.78986,0.0003632,0.0003632,0.0003632
250,2190.2,1.44751,0.68311,1.36677,0.95625,0.90006,0.97252,0.47858,1.80021,0.68906,1.77221,0.0003566,0.0003566,0.0003566
251,2199.18,1.47884,0.70697,1.39958,0.95096,0.90588,0.96516,0.48613,1.71352,0.69065,1.71053,0.00035,0.00035,0.00035
252,2209.41,1.48628,0.68689,1.37068,0.93789,0.91176,0.96044,0.45574,1.80641,0.70732,1.75553,0.0003434,0.0003434,0.0003434
253,2219.15,1.48664,0.69315,1.38548,0.9347,0.9,0.95795,0.45377,1.81683,0.70348,1.77422,0.0003368,0.0003368,0.0003368
254,2228,1.53525,0.72863,1.42282,0.92028,0.91765,0.95661,0.47006,1.76674,0.71365,1.76313,0.0003302,0.0003302,0.0003302
255,2237.93,1.5029,0.71807,1.42064,0.96272,0.9115,0.97441,0.46855,1.79243,0.71522,1.78762,0.0003236,0.0003236,0.0003236
256,2246.66,1.44656,0.70512,1.35935,0.96741,0.89412,0.97827,0.4745,1.73921,0.69053,1.70812,0.000317,0.000317,0.000317
257,2256.53,1.47101,0.70365,1.37623,0.97594,0.88824,0.96718,0.46517,1.7601,0.70914,1.72893,0.0003104,0.0003104,0.0003104
258,2267,1.48467,0.7154,1.3989,0.93736,0.89412,0.96539,0.4523,1.83056,0.75347,1.7536,0.0003038,0.0003038,0.0003038
259,2277.08,1.46227,0.69093,1.36694,0.93795,0.88913,0.96057,0.48012,1.74633,0.70309,1.71835,0.0002972,0.0002972,0.0002972
260,2284.69,1.57835,0.72514,1.44017,0.91072,0.90003,0.95957,0.4613,1.76897,0.69963,1.74287,0.0002906,0.0002906,0.0002906
